Project type,Asset type,,Local boards,Transport Vehicle type
New Build,Boardwalk,,Albert Eden,"Petrol - (car, van, suv, ute, 4wd)"
Renewal,Building,,Aotea/Great Barrier,"Diesel -(car, van, suv, ute, 4wd)"
,Carpark,,Devonport- Takapuna,"Petrol Hybrid- (car, van, suv, ute, 4wd)"
,Hardcourts,,Franklin,"Diesel Hybrid- (car, van, suv, ute, 4wd)"
Report type,HVAC job,,Henderson- Massey,"Petrol- PHEV - (car, van, suv, ute, 4wd)"
Monthly,Lighting,,Hibiscus and Bays,"Diesel- PHEV- (car, van, suv, ute, 4wd)"
Quarterly,Parks/Street Furniture,,Howick,"Electric - (car, van, suv, ute, 4wd)"
End of FY,Path,,Kaipatiki,Petrol / Road Freight- Light Commercial Vehicles (< 3.5 tons)
End of project,Playground,,Mangere-Otahuhu,Diesel / Road Freight- Light Commercial Vehicles (< 3.5 tons)
,Retaining Wall,,Manurewa,Petrol Hybrid / Road Freight- Light Commercial Vehicles (< 3.5 tons)
,Rockwalls,,Maungakiekie-Tamaki,Diesel Hybrid / Road Freight- Light Commercial Vehicles (< 3.5 tons)
,Roofing,,Orakei,Heavy Goods Vehicles- Diesel / Road Freight- (more than 3.5 tons)
,Signage,,Otara-Papatoetoe,Heavy Goods Vehicles- Hybrid / Road Freight- (more than 3.5 tons)
,Solar Panel,,Papakura,Long-haul heavy truck / Road Freight
,Sportsfield,,Puketapapa,Urban Delivery heavy truck / Road Freight- Heavy Trucks
,Toilet,,Rodney,All trucks / Road Freight- Heavy Trucks
,Walkway,,Upper Harbour,
,Other,,Waiheke,
,,,Waitakere Ranges,
,,,Waitemata,
,,,Whau,
